date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:24:39	72037/72037	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2001:24:36%20GMT	https://cobwebmaroon6.wpcomstaging.com/events/2021-11-02/	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/events/2021-11-02/index.html	(from https://cobwebmaroon6.wpcomstaging.com/events/2021-11-01/)
20:24:41	74306/74306	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2001:24:38%20GMT	https://cobwebmaroon6.wpcomstaging.com/events/list/?tribe-bar-date=2021-11-15	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/events/list/indexe881.html	(from https://cobwebmaroon6.wpcomstaging.com/events/2021-11-15/)
20:24:41	974/974	---MC-	200	added ('OK')	text/calendar	date:Wed,%2008%20Dec%202021%2001:24:40%20GMT	https://cobwebmaroon6.wpcomstaging.com/events/2021-11-15/?ical=1	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/events/2021-11-15/indexedf3.html	(from https://cobwebmaroon6.wpcomstaging.com/events/2021-11-15/)
20:24:41	0/0	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2001:24:31%20GMT	https://cobwebmaroon6.wpcomstaging.com/events/2021-12-06/?ical=1	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/events/2021-12-06/indexedf3.html	(from https://cobwebmaroon6.wpcomstaging.com/events/2021-12-06/)
20:24:41	0/0	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2001:24:36%20GMT	https://cobwebmaroon6.wpcomstaging.com/events/2021-11-01/?ical=1	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/events/2021-11-01/indexedf3.html	(from https://cobwebmaroon6.wpcomstaging.com/events/2021-11-01/)
20:24:41	34390/34390	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22619e1349-8656%22	https://cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-regular-400.eot	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-regular-400.eot	(from https://cobwebmaroon6.wpcomstaging.com/_static/??-eJyVjkEOgzAMBD/U1LRIKByqvsUKFjIQJ60dEL+Hll574DZa7ax2yS4kMRKDPJWeRaHnmQBVyRQ6VoOgR3jd4bKcEFyXBI2TOC0x4ns9v6D0KonRGcU8of39MJBlDONX/PGn+oyPW1N73zb3ym8JH1jb)
20:24:41	34390/34390	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22619e1349-8656%22	https://cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-regular-400.eot?	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-regular-400d41d.eot	(from https://cobwebmaroon6.wpcomstaging.com/_static/??-eJyVjkEOgzAMBD/U1LRIKByqvsUKFjIQJ60dEL+Hll574DZa7ax2yS4kMRKDPJWeRaHnmQBVyRQ6VoOgR3jd4bKcEFyXBI2TOC0x4ns9v6D0KonRGcU8of39MJBlDONX/PGn+oyPW1N73zb3ym8JH1jb)
20:24:41	13600/13600	---M--	200	added ('OK')	application/font-woff2	etag:%22619e1349-3520%22	https://cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-regular-400.woff2	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-regular-400.woff2	(from https://cobwebmaroon6.wpcomstaging.com/_static/??-eJyVjkEOgzAMBD/U1LRIKByqvsUKFjIQJ60dEL+Hll574DZa7ax2yS4kMRKDPJWeRaHnmQBVyRQ6VoOgR3jd4bKcEFyXBI2TOC0x4ns9v6D0KonRGcU8of39MJBlDONX/PGn+oyPW1N73zb3ym8JH1jb)
20:24:42	16800/16800	---M--	200	added ('OK')	application/font-woff	etag:%22619e1349-41a0%22	https://cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-regular-400.woff	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-regular-400.woff	(from https://cobwebmaroon6.wpcomstaging.com/_static/??-eJyVjkEOgzAMBD/U1LRIKByqvsUKFjIQJ60dEL+Hll574DZa7ax2yS4kMRKDPJWeRaHnmQBVyRQ6VoOgR3jd4bKcEFyXBI2TOC0x4ns9v6D0KonRGcU8of39MJBlDONX/PGn+oyPW1N73zb3ym8JH1jb)
20:24:42	34092/34092	---MCZ	200	added ('OK')	application/font-ttf	etag:W/%22619e1349-852c%22	https://cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-regular-400.ttf	C:/Users/alex/ROVER/cobweb-arch/cobwebmaroon6.wpcomstaging.com/wp-content/plugins/give/assets/dist/fonts/fa-regular-400.ttf	(from https://cobwebmaroon6.wpcomstaging.com/_static/??-eJyVjkEOgzAMBD/U1LRIKByqvsUKFjIQJ60dEL+Hll574DZa7ax2yS4kMRKDPJWeRaHnmQBVyRQ6VoOgR3jd4bKcEFyXBI2TOC0x4ns9v6D0KonRGcU8of39MJBlDONX/PGn+oyPW1N73zb3ym8JH1jb)
